6088.5269 5032.5835 no
6089.7881 4089.9497 no
6099.0688 4934.9897 no
6123.7168 4281.9858 40 very faint maybe just blended objects
6142.4893 4404.9731 no
6155.2109 7701.4492 no
6177.5029 8569.2314 ok
6198.5859 1646.4971 no
6200.6821 3783.7019 no
6217.2905 1663.5093 no
6233.2642  3823.646 no
 6280.605 1730.0923 no
6340.6807 8150.8159 no
6364.0732 6406.6079 no
6381.3784 6076.0845 no
6382.1523 6382.6699 no
6399.4707    7175.5 no
6415.9971 8779.8506 truncated, maybe interacted, very big bulge or non-edge-on
6417.3228 4076.0798 no
6424.5391 4281.0605 no
 6445.812 5483.5454 no
 6461.728 4440.2876 20 rather blended objects
6463.5557 6531.8726 no
6486.4775 6319.5771 ok
6490.8232 7924.3306 no
6516.8647  6301.541 no
6538.5332 2660.7161 no
6600.2935 2788.8889 no
6629.5225 3652.7117 no
6652.9312  6759.043 no
 6683.938 6394.4272 i
6694.8252 2109.2053 no
6720.6309 7274.5479 no
6727.2056 6626.4487 no
6736.6284 6394.5405 no
 6745.563 7126.6733 i
6747.5947 4624.2148 no
6764.7598 7366.0903 no
6785.1821 2367.4336 40 too low resolution to judge
6788.5181 5074.9033 10 symmetrical but rather spiral ell=0.668
6805.2114 7310.7881 no
6841.0859 3873.0823 no
6893.6484 7813.4922 no
6907.5986  6407.481 no
6963.4038 4772.6431 no
6976.3267 2948.6631 20 too small to judge
6979.9351 7090.1938 no
7008.4946 3196.8674 no
7010.9062 5151.1611 no
7021.1567 6056.1655 no
7053.5503 5732.7671 no
 7079.189 5196.7173 no
7167.1152 5378.3667 no
7192.9966 4615.9639 no
7195.5176 7391.2769 no
7294.0879 7670.3604 no
7311.6167 6562.5996 no
7316.5396 4235.4341 no
7331.7686 6632.2041 10 low resolution to judge and blended but rather spiral 
7349.3994    2720.0 no
7350.2456 5427.9824 no
7428.8965 5430.6567 10 too low resolution to judge but rather spiral
7495.5288 4555.4409 20 too low resolution to judge, big bulge
7543.3589 4468.8647 no
7589.5352 6510.1626 no
7624.9312 2977.8613 no
7666.9546 3017.1858 no
7791.8442 4285.9438 i
7836.4536 3499.1172 i
7838.2676 4529.4878 no
7855.9819 3451.6987 90 maybe small i
7871.3384 5168.3286 no
7905.0957 3599.6582 80 small i and blended
8020.3159 4757.9248 ok
8033.6426 3725.3721 no
8056.3501 5308.0684 no
8078.1167 4019.6448 no
8132.1978 4144.9883 no
8150.2871 6339.5601 no
8200.0947 4423.2925 no
8248.6523 5132.0654 10 bright core but faint wings: spiral arms or what
8291.7568 5288.3037 no
8403.7119 6111.9531 no
8558.6191 4277.7944 no
8614.0635 5762.5386 30 symmetrical but rather small i
8799.7744 4412.0684 no
8800.2197  4950.231 20 noticeable spiral arms but thin
8817.9355 4749.7441 no
9011.6943 4817.3706 no
9112.8965 4538.8325 no
9135.7412 4808.8306 no
 9224.042 4771.2759 no
9258.8135 5065.3345 i
9447.5322 5543.1855 no
 9492.627 4719.9531 no
9523.4844 4758.9219 no
9762.1221   4971.02 no
