     NUMBER     X_IMAGE     Y_IMAGE ELLIPTICITY  AWIN_IMAGE  BWIN_IMAGE     A_IMAGE     B_IMAGE   FLUX_AUTO   FLUX_APER  FWHM_IMAGE  MY_COMMENT
        107   1489.3856    720.8029       0.711       4.320       2.145       7.800       2.257    6.744252    1.048059       18.89  ok
        171   2132.0125    861.1088       0.777       5.466       2.669       8.800       1.960    1.844371   0.2272547       24.92  ok
       1059   2318.3796   1877.2772       0.761       6.048       2.685      10.554       2.519    6.656123   0.7176495       30.95  ok
       1485   1962.5918   2243.6587       0.773       5.134       2.246       9.186       2.086    4.576345   0.6512631       25.07  ok
       1136   1061.5044   1978.4097       0.728       6.441       3.037      11.794       3.213    17.57193    1.247324       36.95  wide
       1370    511.3788   2182.8381       0.739       7.381       3.700      14.961       3.912     23.0533    1.688571       28.80  wide
